"","country","continent","GHGC","UNNC","UCAC","GCCP","OR","DGCC","DOCC"
"1","Afghanistan","Asia",2.665,5.82,0.2155,87.19,0.00197574528472456,0.000398750264234478,-0.844854222125122
"2","Albania","Europe",3.413,35.59,0.2414,106.41,1.58530866740542,0.00144882930308716,-0.376248831033366
"3","Algeria","Africa",5.189,8.24,0.2017,108.85,15.6479719279686,0.102662182570686,-0.446083527104966
"4","Angola","Africa",4.044,4.21,0.1693,95.28,26.3342151109984,0.00268785294703156,-0.68514926338505
"5","Antigua and Barbuda","America",12.567,1.72,0.0519,86.29,0,0,1.32477950927149
"6","Argentina","America",8.915,34.44,0.7597,89.77,1.39460030263589,0.10900307022264,-0.177967462923917
"7","Armenia","Europe",3.185,178.53,0.171,72.8,0,0.0813612247408164,-0.75360411544432
"8","Australia","Oceania",24.872,45.08,1.2574,99.65,0.31501827872077,0.175953119632722,1.15615864529393
"9","Austria","Europe",7.631,81.16,0.1568,96.52,0.0437926677567654,0.0971735275510238,0.43242927643314
"10","Azerbaijan","Europe",7.875,50.55,0.2365,121.7,25.3091011620029,0.102686048817119,-0.438179059847903
"11","Bahrain","Asia",31.189,386.69,0.0029,87.82,11.0840766774168,0.989991926178805,0.839988921120027
"12","Bangladesh","Asia",1.368,147.8,0.0558,104.15,0.026184197832054,0.0182645228775939,-0.83390148890596
"13","Barbados","America",13.222,28.77,0.0279,114.14,0.29419719379581,0.00685208007553527,0.745594802443317
"14","Belarus","Europe",7.054,69.53,0.616,91.55,0.835525727381268,0.191664910593148,-0.245866953301922
"15","Belgium","Europe",9.485,200,0.0761,85.29,0,0.153502989400513,1.69435151838562
"16","Belize","America",17.803,87.74,0.3185,90.07,0.645121900098164,0,-0.411117401792002
"17","Benin","Africa",2.448,14.14,0.296,107.29,0.130486480076081,0.000160608087534379,-0.697522903198592
"18","Bhutan","Asia",1.538,15.08,0.1326,85.86,0,0,-0.643901713103876
"19","Bosnia and Herzegovina","Europe",7.657,61.52,0.3397,132.16,0,0.00659616226739953,-0.425830683611239
"20","Botswana","Africa",25.487,48.34,0.1161,126.97,0,0,-0.467470114742831
"21","Brazil","America",6.782,72.33,0.3032,107.1,2.0159800649676,0.0164355471089936,-0.24366138223037
"22","Bulgaria","Europe",2.768,93.45,0.5149,110.98,0.0226288279568553,0.0431003611873923,-0.304412988216033
"23","Burkina Faso","Africa",2.783,9.22,0.311,98.82,0,0,-0.826136059108456
"24","Burundi","Africa",0.804,8.68,0.1387,112.96,0,0,-0.859053241693592
"25","Cambodia","Asia",4.255,30.5,0.2579,110.41,0,0,-0.724994289662684
"26","Cameroon","Africa",4.891,6,0.3073,92.24,3.01562742741433,0.00420821378125509,-0.810711352928797
"27","Canada","America",20.592,71.26,1.0482,103.39,1.78050653634303,0.32595701794312,2.05095430783132
"28","Central African Republic","Africa",18.659,0.05,0.4029,103.63,0,0,-0.844554344750585
"29","Chile","America",2.764,122.34,0.0897,107.83,0.0150647720762657,0.027859805076646,-0.0385909789975128
"30","China","Asia",8.199,208.48,0.093,102.77,0.433930309335748,0.0194678413589787,-0.443130439170128
"31","Colombia","America",5.396,49.57,0.1992,94.62,3.87765027642574,0.0216058259622777,-0.579797438060822
"32","Costa Rica","America",1.708,165.17,0.1165,101,0,0,-0.354487199919853
"33","Croatia","Europe",4.381,113.49,0.2108,102.71,0.329616811853371,0.0652618444428034,-0.125762249969437
"34","Cuba","America",3.424,11.24,0.3141,91.88,0.643466631284228,0.00832969457377768,-0.270430082063889
"35","Cyprus","Europe",7.021,59.66,0.1096,84.4,0,0,1.0467130291703
"36","Denmark","Europe",8.124,92.56,0.4207,74.66,0.487437286171954,0.0494657003763705,0.32272873035506
"37","Dominica","America",3.211,2.18,0.3211,97.82,0,0,-0.134262783104955
"38","Dominican Republic","America",3.529,72.76,0.1159,113.64,0,0.0115032066600527,-0.294679486226711
"39","Ecuador","America",5.376,93.43,0.1378,88.88,7.16632924901327,0.00197347956523371,-0.21125702404597
"40","El Salvador","America",2.093,61.61,0.1372,102.62,0,0,-0.533890866295475
"41","Estonia","Europe",15.541,56.33,0.5216,70.76,0.356249631748285,0.0369619295699723,0.109559124818245
"42","Ethiopia","Africa",1.874,23.47,0.1639,97.73,0,0,-0.837543320263012
"43","Fiji","Oceania",0.317,21.38,0.159,103,0,0,-0.0881626873375469
"44","Finland","Europe",11.123,61.59,0.4069,79.72,0,0.0455472272644099,0.776064863733812
"45","France","Europe",5.56,114.21,0.2944,96.19,0.00837614758843157,0.0577768591541533,0.210219404843633
"46","Gabon","Africa",6.592,12.55,0.2336,95.17,20.0786791737458,0.016637313438962,-0.514210666170798
"47","Georgia","Europe",4.222,34.29,0.1085,103.82,0.05153740022481,0.058638078006999,-0.531192326795991
"48","Germany","Europe",9.343,112.51,0.1435,80.94,0.0157707639858321,0.108585587181098,0.336088450062035
"49","Ghana","Africa",0.658,12.48,0.1755,105.72,4.49105418701517,0.00509926520974688,-0.737279893916902
"50","Greece","Europe",8.186,55.61,0.3066,101.32,0.0289174335285405,0.0435414467811124,0.322573089752079
"51","Guatemala","America",2.244,84.52,0.1186,92.71,0.195061191816103,0,-0.60459645721772
"52","Guinea","Africa",3.316,1.86,0.3061,106.8,0,0,-0.802222917950523
"53","Guyana","America",24.544,42.16,0.6033,103.92,0,0,-0.0265853292677395
"54","Honduras","America",2.934,76.91,0.1665,115.94,0,0,-0.581835096823244
"55","Hungary","Europe",6.47,94.35,0.4633,99.71,0.148704729448611,0.0992691968589523,-0.0842138385192565
"56","Iceland","Europe",9.949,97.05,0.3594,77.91,0,0,1.94532755451613
"57","India","Asia",2.474,104.45,0.1248,107.19,0.454587640647553,0.00408006746360781,-0.719667017963666
"58","Indonesia","Asia",6.366,63.1,0.1917,109.34,1.175772264993,0.0169879378351419,-0.597447023129658
"59","Iraq","Asia",5.625,32.95,0.1366,66.98,44.3055358892491,0.0363743322053249,0.201374769709213
"60","Ireland","Europe",12.927,201.42,0.0938,70.78,0,0.107682861462159,0.533017059283262
"61","Israel","Asia",10.49,103.87,0.0577,87.42,0.0103026883373587,0.0996995392974324,0.249525600977059
"62","Italy","Europe",6.38,64.93,0.1511,95.96,0.0698119417148875,0.116410275742808,0.0322262185745769
"63","Jamaica","America",3.475,17.23,0.0733,102.26,0,0.00322336633699413,-0.130281380111034
"64","Japan","Asia",9.078,83.57,0.0347,97.26,0.00106198340904378,0.082352797958882,0.412494578042247
"65","Jordan","Asia",3.593,71.19,0.0281,81.54,0.000993258609415039,0.0516989609703715,-0.394597281725782
"66","Kazakhstan","Europe",14.805,2.71,1.631,112.77,15.6114651371934,0.0820581772549847,-0.0964211555187365
"67","Kenya","Africa",1.386,18.77,0.1232,102.04,0.00504107702605338,0,-0.770944295202046
"68","Kuwait","Asia",27.305,178.57,0.0034,90.5,45.1216846929565,0.509703523804695,3.52422311288515
"69","Latvia","Europe",4.61,57.21,0.6757,73.01,0,0.0713942845063887,-0.0848946849300232
"70","Lebanon","Asia",4.998,62.33,0.0396,110.09,0,0,0.184189503093623
"71","Libya","Africa",15.428,7.37,0.307,96.37,42.4708271366993,0.0679297512577913,0.562488328730765
"72","Lithuania","Europe",6.501,74.12,0.7679,77.61,0.0334291574853369,0.0799090768174969,0.17264143742803
"73","Luxembourg","Europe",16.45,204.76,0.1054,96.46,0,0.123714355880474,3.56866903824711
"74","Madagascar","Africa",1.572,7.97,0.1371,94.42,0.145433336368669,0,-0.844174162345782
"75","Malawi","Africa",1.479,23.18,0.2094,105.98,0,0,-0.853753789493333
"76","Malaysia","Asia",12.31,46.69,0.2628,99.01,2.88759408253797,0.117205399828724,0.0885629317762678
"77","Maldives","Asia",4.615,75.2,0.0105,89.66,0,0,0.101421693195066
"78","Mali","Africa",2.293,15.7,0.3439,113.96,0,0,-0.824254052614772
"79","Malta","Europe",4.621,56.43,0.0236,60.99,0,0.0687494940780977,3.74052682092015
"80","Mauritius","Africa",5.295,93.78,0.0623,81.85,0,0,0.25408858445345
"81","Mexico","America",5.51,58.91,0.1791,109.51,2.27127886854115,0.0636690422359428,-0.185893126025684
"82","Mongolia","Asia",17.576,30.41,0.4203,99.48,2.33919154107498,0,-0.483948749756618
"83","Montenegro","Europe",6.101,85.99,0.0233,104.66,0,0,-0.320879751382366
"84","Morocco","Africa",2.563,22.15,0.2644,112.5,0.00185811508634421,0.00297941792906695,-0.527814636740038
"85","Mozambique","Africa",3.732,4.46,0.2017,126.14,0.105275901119442,0.00393661489283419,-0.823718484322704
"86","Myanmar","Asia",4.313,21.55,0.2344,96.57,0.212886915708654,0.00847818263129695,-0.758489600763084
"87","Namibia","Africa",9.186,25.13,0.3308,105.54,0,0,-0.410427820830074
"88","Nauru","Oceania",7.492,0,0.0375,96.7,0,0,0.629666626869569
"89","Nepal","Asia",1.942,54.72,0.0828,102.68,0,0,-0.785497625680961
"90","Netherlands","Europe",10.551,197.16,0.0621,92.03,0.0222178247378531,0.238228056183849,1.44737437978634
"91","Nicaragua","America",5.981,26.99,0.2769,112.18,0,0,-0.642954551511658
"92","Niger","Africa",2.063,0.36,0.7938,108.88,1.64020030444725,0,-0.846752624521645
"93","Nigeria","Africa",1.825,10.52,0.2119,104.5,8.84870568166443,0.00915388145155965,-0.7717340405067
"94","Norway","Europe",5.324,126.99,0.151,70.07,5.21241127534779,0.0749168254094462,0.919104192432079
"95","Oman","Asia",17.045,94.44,0.0225,122.65,26.6782668701549,0.478364685219617,1.23094555867828
"96","Pakistan","Asia",2.065,107.87,0.1506,90.99,0.492026170782626,0.0216040992342686,-0.744434386256262
"97","Panama","America",5.365,16.99,0.1638,107.53,0,0.00445112427931561,0.779327300773704
"98","Papua New Guinea","Oceania",7.447,31.74,0.1162,94.83,2.3460751554751,0.0011019304478055,-0.661603719009228
"99","Paraguay","America",13.699,27.6,0.6932,106.92,0,0,-0.514503546206778
"100","Peru","America",5.82,41.71,0.1844,107.33,0.326773501052596,0.0230063802140747,-0.5275366516306
"101","Philippines","Asia",2.202,58.46,0.1042,97.52,0.00915416821005933,0.00326263836673042,-0.686290498927349
"102","Poland","Europe",9.407,87.49,0.2996,93.35,0.0519510025419015,0.0517466112549372,-0.102969914759545
"103","Portugal","Europe",6.547,59.02,0.1674,102.51,0,0.053602338902287,0.0948009809064483
"104","Qatar","Asia",35.888,62.5,0.0086,106.37,15.5544381427131,1.29033486013643,3.25581511718743
"105","Romania","Europe",4.416,51.35,0.4679,134.86,0.443053387963737,0.0569700360103424,-0.412235533906516
"106","Rwanda","Africa",0.636,5.39,0.1139,104.25,0,0,-0.843626527635312
"107","Samoa","Oceania",4.079,0.43,0.2414,78.95,0,0,-0.416509166423795
